Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
IO,Ion Geophysical Corporation Common Stock,$1.95,-0.31,-13.717%,57793082.00,United States,,7943655,Energy,Oilfield Services/Equipment
KLXE,KLX Energy Services Holdings Inc. Common Stock,$4.38,-0.06,-1.351%,38893857.00,United States,,798677,Energy,Oilfield Services/Equipment
KOS,Kosmos Energy Ltd. Common Shares (DE),$3.95,-0.02,-0.504%,1783818171.00,Bermuda,2011,7413732,Energy,Oil & Gas Production
KRP,Kimbell Royalty Partners Common Units Representing Limited Partner Interests,$15.29,0.07,0.46%,918656196.00,United States,2017,117275,Energy,Oil & Gas Production
LBRT,Liberty Oilfield Services Inc. Class A Common Stock,$15.01,-0.59,-3.782%,2704365539.00,United States,2018,1834113,Energy,Oilfield Services/Equipment
LPI,Laredo Petroleum Inc. Common Stock,$79.88,6.13,8.312%,1363497441.00,United States,2011,798918,Energy,Oil & Gas Production
MARPS,Marine Petroleum Trust Units of Beneficial Interest,$5.18,-0.22,-4.074%,10360000.00,United States,,70980,Energy,Oilfield Services/Equipment
MCF,Contango Oil & Gas Company Common Stock (TX),$4.42,0.02,0.455%,889217182.00,United States,,544022,Energy,Oil & Gas Production
METC,Ramaco Resources Inc. Common Stock,$14.56,0.25,1.747%,642232369.00,United States,2017,230328,Energy,Coal Mining
MGY,Magnolia Oil & Gas Corporation Class A Common Stock,$20.95,0.34,1.65%,4850186707.00,United States,2017,1861221,Energy,Oil & Gas Production
MMLP,Martin Midstream Partners L.P. Limited Partnership,$3.39,0.01,0.296%,131541323.00,United States,2002,66193,Energy,Oil Refining/Marketing
MMP,Magellan Midstream Partners L.P. Limited Partnership,$51.44,0.13,0.253%,11397027367.00,United States,,2312092,Energy,Oil & Gas Production
MNRL,Brigham Minerals Inc. Class A Common Stock,$22.71,0.39,1.747%,1289622596.00,,2019,252412,Energy,Oil & Gas Production
